Neighborhood,Price,,,
Academy,1000,,,
Baden,1000,,,
Benton Park,1500,,,
Benton Park West,1500,,,
Bevo Mill,1500,,,
"Botanical Heightsf/k/a McRee Town",1000,,,
Boulevard Heights,1000,,,
Carondelet,1000,,,
Carr Square,1250,,,
Central West End,1850,,,
Cheltenham,1500,,,
Clayton/Tamm,1500,,,
Clifton Heights,1500,,,
College Hill,1000,,,
Columbus Square,1500,,,
Compton Heights,2500,,,
Covenant Blu/Grand Center,1000,,,
DeBaliviere Place,2000,,,
Downtown,0,,,
Downtown West,0,,,
Dutchtown,1500,,,
Ellendale,1500,,,
Fairground Neighborhood,1000,,,
Forest Park Southeast,1000,,,
Fountain Park,1000,,,
Fox Park,1500,,,
Franz Park,1500,,,
"Gate District, The",1500,,,
Gravois Park,1500,,,
"Greater Ville, The",1000,,,
Hamilton Heights,1000,,,
"Hill, The",1500,,,
Hi-Point,1500,,,
Holly Hills,1500,,,
Hyde Park,1000,,,
Jeff VanderLou,1000,,,
Kings Oak,1500,,,
Kingsway East,1000,,,
Kingsway West,1000,,,
Kosciusko,0,,,
Lafayette Square,2500,,,
LaSalle,1750,,,1000
Lewis Place,1000,,,2500
Lindenwood Park,1500,,,
Marine Villa,1000,,,
Mark Twain,1000,,,2000
Mark Twain/I-70 Industrial,1000,,,1000
McKinley Heights,1500,,,1000
Midtown,1350,,,
Mount Pleasant,1000,,,
Near N. Riverfront,0,,,
North Hampton,1750,,,
North Point,1000,,,
North Riverfront,0,,,
O'Fallon,1000,,,
Old North St. Louis,1000,,,
Patch,1000,,,
"Peabody, Darst, Webbe",2000,,,
Penrose,1000,,,
Princeton Heights,1500,,,
Riverview,1000,,,
Shaw,1500,,,
Skinker/DeBaliviere,2500,,,
Soulard,2000,,,
Southhampton,1500,,,
Southwest Garden,1500,,,
St. Louis Hills,2500,,,
St. Louis Place,1000,,,
Tiffany,1000,,,
Tower Grove East,1500,,,
Tower Grove South,1500,,,
Vandeventer,1000,,,
"Ville, The",1000,,,
Visitation Park,1000,,,
Walnut Park East,1000,,,
Walnut Park West,1000,,,
Wells/Goodfellow,1000,,,
West End,1000,,,
Wydown/Skinker,2500,,,
